Source,Target,Type,Id,Label,timeset,Weight
Denzel,Barret,Undirected,1004,,,4
Denzel,Zack,Undirected,1005,,,1
Denzel,Aerith,Undirected,1006,,,1
Denzel,Vincent,Undirected,1007,,,2
Denzel,Yuffie,Undirected,1008,,,3
Denzel,Cait,Undirected,1009,,,1
Denzel,Cid,Undirected,1010,,,1
Tifa,Yazoo,Undirected,1012,,,6
Tifa,Loz,Undirected,1013,,,8
Tifa,Rude,Undirected,1014,,,15
Tifa,Barret,Undirected,1015,,,635
Tifa,Aerith,Undirected,1016,,,376
Tifa,Vincent,Undirected,1017,,,59
Tifa,Yuffie,Undirected,1018,,,135
Tifa,Cait,Undirected,1019,,,82
Tifa,Cid,Undirected,1020,,,119
Cloud,Yazoo,Undirected,1021,,,7
Cloud,Loz,Undirected,1022,,,4
Cloud,Barret,Undirected,1024,,,679
Cloud,Vincent,Undirected,1027,,,176
Cloud,Yuffie,Undirected,1028,,,250
Cloud,Cait,Undirected,1029,,,208
Cloud,Cid,Undirected,1030,,,257
Yazoo,Loz,Undirected,1031,,,23
Yazoo,Rude,Undirected,1032,,,9
Yazoo,Yuffie,Undirected,1033,,,1
Loz,Rude,Undirected,1034,,,4
Loz,Yuffie,Undirected,1035,,,1
Rude,Barret,Undirected,1036,,,5
Rude,Aerith,Undirected,1037,,,1
Rude,Vincent,Undirected,1038,,,2
Barret,Vincent,Undirected,1039,,,31
Barret,Yuffie,Undirected,1040,,,113
Barret,Cait,Undirected,1041,,,99
Barret,Cid,Undirected,1042,,,96
Aerith,Vincent,Undirected,1044,,,16
Aerith,Yuffie,Undirected,1045,,,74
Aerith,Cait,Undirected,1046,,,46
Aerith,Cid,Undirected,1047,,,22
Vincent,Yuffie,Undirected,1048,,,182
Vincent,Cait,Undirected,1049,,,108
Vincent,Cid,Undirected,1050,,,89
Yuffie,Cait,Undirected,1051,,,145
Yuffie,Cid,Undirected,1052,,,101
Cait,Cid,Undirected,1053,,,67
Yuffie,Hojo,Undirected,1056,,,3
Yuffie,Reeve,Undirected,1057,,,16
Yuffie,Weiss,Undirected,1058,,,6
Yuffie,Shalua,Undirected,1059,,,2
Yuffie,Shelke,Undirected,1060,,,27
Yuffie,Nero,Undirected,1061,,,21
Vincent,Hojo,Undirected,1066,,,84
Vincent,Lucrecia,Undirected,1067,,,172
Vincent,Reeve,Undirected,1068,,,165
Vincent,Weiss,Undirected,1069,,,65
Vincent,Azul,Undirected,1070,,,60
Vincent,Rosso,Undirected,1073,,,45
Vincent,Shalua,Undirected,1074,,,67
Vincent,Shelke,Undirected,1075,,,214
Vincent,Nero,Undirected,1076,,,38
Cloud,Reeve,Undirected,1080,,,9
Cloud,Rosso,Undirected,1081,,,5
Hojo,Lucrecia,Undirected,1085,,,29
Hojo,Reeve,Undirected,1086,,,8
Hojo,Weiss,Undirected,1087,,,44
Hojo,Shelke,Undirected,1089,,,4
Hojo,Nero,Undirected,1090,,,26
Lucrecia,Reeve,Undirected,1091,,,2
Lucrecia,Weiss,Undirected,1092,,,1
Lucrecia,Cait,Undirected,1093,,,1
Lucrecia,Shalua,Undirected,1094,,,4
Lucrecia,Shelke,Undirected,1095,,,24
Lucrecia,Nero,Undirected,1096,,,2
Reeve,Azul,Undirected,1097,,,21
Reeve,Cait,Undirected,1098,,,19
Reeve,Jenova,Undirected,1099,,,4
Reeve,Rosso,Undirected,1100,,,2
Reeve,Rufus,Undirected,1101,,,3
Reeve,Shalua,Undirected,1102,,,14
Reeve,Shelke,Undirected,1103,,,44
Reeve,Cid,Undirected,1104,,,9
Reeve,Barret,Undirected,1105,,,3
Reeve,Tifa,Undirected,1106,,,1
Weiss,Azul,Undirected,1107,,,7
Weiss,Rosso,Undirected,1108,,,10
Weiss,Shelke,Undirected,1109,,,5
Weiss,Nero,Undirected,1110,,,49
Weiss,Sephiroth,Undirected,1111,,,1
Weiss,Cid,Undirected,1112,,,2
Azul,Cait,Undirected,1113,,,2
Azul,Rosso,Undirected,1114,,,11
Azul,Shalua,Undirected,1115,,,12
Azul,Shelke,Undirected,1116,,,21
Azul,Nero,Undirected,1117,,,4
Azul,Cid,Undirected,1118,,,1
